Grid size
X: 118
Y: 81

(x,y,water/land,city)
0: Water, 1: Land (Not Florida), 2: Land (Florida)
0: No city, >0 city ID

(92,10,1,0)
(11,81,0,0)
(67,18,1,0)
(1,7,0,0)
(40,35,1,0)
(11,78,2,0)
(24,30,1,0)
(60,9,0,0)
(56,41,0,0)
(78,16,0,0)
(104,11,0,0)
(34,58,2,0)
(39,45,2,0)
(70,37,0,0)
(44,62,2,0)
(47,33,1,0)
(34,36,0,0)
(114,10,1,0)
(63,25,1,0)
(35,56,2,0)
(54,46,0,0)
(39,36,0,0)
(59,20,1,0)
(34,32,1,0)
(91,9,1,0)
(59,53,0,0)
(23,29,0,0)
(35,57,2,8)
(79,18,0,0)
(45,28,1,0)
(70,38,0,0)
(17,75,2,0)
(99,15,1,0)
(1,0,0,0)
(6,3,0,0)
(33,59,2,0)
(56,10,0,0)
(7,7,0,0)
(30,79,2,0)
(12,25,0,0)
(35,56,2,0)
(96,15,1,0)
(89,7,1,0)
(18,81,0,0)
(26,75,2,0)
(33,79,2,0)
(104,11,0,0)
(45,28,1,0)
(53,24,1,0)
(23,31,0,0)
(8,77,2,0)
(28,35,1,0)
(77,23,0,0)
(45,49,2,0)
(23,32,0,0)
(57,44,0,0)
(32,28,1,0)
(62,8,0,0)
(69,37,0,0)
(96,15,1,0)
(57,19,1,0)
(7,5,0,0)
(96,16,1,0)
(73,10,0,0)
(9,16,0,0)
(44,28,1,0)
(67,24,1,0)
(87,7,1,0)
(97,15,1,0)
(58,46,0,0)
(99,14,1,0)
(62,7,0,0)
(70,22,1,0)
(29,79,2,0)
(28,74,2,0)
(79,24,0,0)
(41,30,1,0)
(18,74,2,0)
(47,33,1,0)
(78,16,0,0)
(95,9,1,0)
(30,29,1,0)
(38,44,0,0)
(30,29,1,0)
(69,35,1,0)
(96,10,1,0)
(73,41,0,0)
(68,22,1,0)
(33,63,2,3)
(77,10,0,0)
(33,60,2,0)
(40,49,2,0)
(6,10,0,0)
(80,25,0,0)
(21,74,2,0)
(11,81,0,0)
(6,9,0,0)
(87,28,0,0)
(21,30,0,0)
(28,74,2,0)
(76,33,0,0)
(75,31,0,0)
(90,26,0,0)
(46,57,0,0)
(11,78,2,0)
(98,15,1,0)
(7,8,0,0)
(3,7,0,0)
(62,48,0,0)
(55,55,0,0)
(10,78,2,0)
(64,45,0,0)
(51,31,1,0)
(80,25,0,0)
(1,24,0,0)
(71,18,1,0)
(98,15,1,0)
(39,45,2,0)
(43,65,2,0)
(35,57,2,8)
(81,16,1,0)
(33,62,2,0)
(60,53,0,0)
(116,10,1,0)
(66,22,1,0)
(52,54,0,0)
(12,25,0,0)
(58,22,1,0)
(93,8,1,0)
(70,18,1,0)
(72,20,1,0)
(80,12,1,0)
(75,31,0,0)
(6,5,0,0)
(59,52,0,0)
(1,4,0,0)
(67,42,0,0)
(58,19,1,0)
(63,25,1,0)
(13,78,2,0)
(45,51,2,0)
(56,7,0,0)
(42,48,2,0)
(44,48,2,0)
(65,45,0,0)
(110,8,0,0)
(52,26,1,0)
(75,31,0,0)
(13,78,2,0)
(58,6,0,0)
(32,68,2,0)
(55,55,0,0)
(79,10,1,0)
(33,63,2,3)
(65,18,1,0)
(68,42,0,0)
(71,18,1,0)
(103,12,0,0)
(32,61,2,0)
(58,7,0,0)
(37,80,2,0)
(27,79,2,0)
(79,12,1,0)
(81,11,1,0)
(52,25,1,0)
(46,53,0,2)
(30,71,0,0)
(35,79,2,0)
(56,7,0,0)
(21,80,2,0)
(0,0,0,0)
(6,1,0,0)
(37,36,0,0)
(53,44,0,0)
(80,31,0,0)
(57,22,1,0)
(74,33,0,0)
(60,53,0,0)
(4,8,0,0)
(59,20,1,0)
(90,7,1,0)
(52,55,0,0)
(77,10,0,0)
(31,29,1,0)
(44,62,2,0)
(74,11,0,0)
(59,54,0,0)
(43,48,2,0)
(39,44,0,0)
(20,73,0,0)
(15,77,2,0)
(1,3,0,0)
(58,10,0,0)
(80,31,0,0)
(22,29,0,0)
(58,56,0,0)
(76,32,0,0)
(39,30,1,0)
(43,30,1,0)
(54,45,0,0)
(82,13,1,0)
(29,27,1,0)
(116,10,1,0)
(45,59,2,0)
(65,38,0,0)
(88,6,0,0)
(77,35,0,0)
(80,25,0,0)
(55,42,0,0)
(30,28,1,0)
(20,81,0,0)
(44,34,1,0)
(56,18,1,0)
(38,76,2,0)
(75,8,0,0)
(64,44,0,0)
(27,79,2,0)
(16,76,2,0)
(57,39,0,0)
(74,33,0,0)
(26,75,2,0)
(63,48,0,0)
(43,30,1,0)
(23,33,0,0)
(24,76,2,0)
(36,54,2,0)
(95,9,1,0)
(98,13,1,0)
(34,33,1,0)
(15,77,2,0)
(75,8,0,0)
(9,11,0,0)
(56,28,1,0)
(71,21,1,0)
(24,79,2,0)
(60,26,1,0)
(38,78,2,0)
(55,47,0,0)
(55,42,0,0)
(35,78,2,0)
(6,10,0,0)
(32,60,2,5)
(38,79,2,0)
(24,76,2,0)
(59,6,0,0)
(116,10,1,0)
(117,10,1,0)
(57,7,0,0)
(21,74,2,0)
(35,55,2,0)
(34,57,2,0)
(52,54,0,0)
(57,18,1,0)
(65,38,0,0)
(43,30,1,0)
(54,55,0,0)
(111,7,0,0)
(89,6,0,0)
(32,63,2,0)
(102,9,1,0)
(27,75,2,0)
(66,23,1,0)
(31,35,1,0)
(61,49,0,0)
(114,10,1,0)
(68,37,0,0)
(81,15,1,0)
(20,81,0,0)
(32,27,1,0)
(104,11,0,0)
(11,78,2,0)
(64,46,0,0)
(98,15,1,0)
(41,45,2,0)
(42,30,1,0)
(104,10,0,0)
(70,36,0,0)
(38,52,2,0)
(9,24,0,0)
(13,22,0,0)
(44,48,2,0)
(97,10,1,0)
(64,47,0,0)
(23,79,2,0)
(25,31,1,0)
(80,12,1,0)
(6,3,0,0)
(89,17,1,0)
(27,31,1,0)
(30,28,1,0)
(39,74,2,0)
(58,27,1,0)
(32,64,2,0)
(79,24,0,0)
(31,70,0,0)
(92,17,1,0)
(70,22,1,0)
(70,18,1,0)
(82,18,0,0)
(110,10,0,0)
(45,51,2,0)
(64,25,1,0)
(41,30,1,0)
(35,57,2,8)
(68,41,0,0)
(47,28,1,0)
(44,48,2,0)
(50,31,1,0)
(68,17,0,0)
(32,62,2,0)
(80,24,0,0)
(36,36,0,0)
(31,27,1,0)
(35,44,0,11)
(37,35,1,0)
(74,11,0,0)
(45,59,2,0)
(80,25,0,0)
(21,29,0,0)
(23,75,2,0)
(75,8,0,0)
(1,3,0,0)
(54,8,0,0)
(12,78,2,0)
(79,8,1,0)
(31,63,0,0)
(101,13,1,0)
(31,70,0,0)
(0,1,0,0)
(84,11,1,0)
(34,56,2,0)
(35,55,2,0)
(26,34,1,0)
(84,10,1,0)
(92,9,1,0)
(83,17,1,0)
(45,59,2,0)
(68,41,0,0)
(67,43,0,0)
(8,81,0,0)
(36,55,2,0)
(63,25,1,0)
(76,33,0,0)
(57,41,0,0)
(76,8,0,0)
(100,14,1,0)
(74,19,0,0)
(66,38,0,0)
(57,10,0,0)
(31,33,1,0)
(35,57,2,8)
(59,18,1,0)
(23,76,2,0)
(46,57,0,0)
(59,46,0,0)
(44,29,1,0)
(57,42,0,0)
(80,31,0,0)
(1,2,0,0)
(30,35,1,0)
(16,81,0,0)
(40,71,2,0)
(30,35,1,0)
(69,41,0,0)
(17,76,2,0)
(97,14,1,0)
(96,16,1,0)
(9,11,0,0)
(53,44,0,0)
(3,24,0,0)
(46,54,0,0)
(58,55,0,0)
(1,5,0,0)
(87,7,1,0)
(36,32,1,0)
(8,9,0,0)
(55,22,1,0)
(55,55,0,0)
(68,41,0,0)
(29,35,1,0)
(58,55,0,0)
(34,79,2,0)
(56,41,0,0)
(36,55,2,0)
(30,79,2,0)
(6,25,0,0)
(110,10,0,0)
(118,9,0,0)
(82,18,0,0)
(110,10,0,0)
(35,57,2,8)
(25,30,1,0)
(30,29,1,0)
(34,36,0,0)
(68,42,0,0)
(32,63,2,0)
(74,20,0,0)
(7,81,0,0)
(7,8,0,0)
(39,30,1,0)
(10,81,0,0)
(74,33,0,0)
(90,17,1,0)
(64,45,0,0)
(77,8,0,0)
(1,4,0,0)
(31,35,1,0)
(60,54,0,0)
(38,31,1,0)
(101,10,1,0)
(69,37,0,0)
(60,54,0,0)
(75,33,0,0)
(42,48,2,0)
(35,80,2,0)
(46,58,0,0)
(102,9,1,0)
(59,20,1,0)
(60,18,1,0)
(46,55,0,9)
(40,71,2,0)
(47,32,1,0)
(34,78,2,0)
(21,73,0,0)
(21,74,2,0)
(58,28,1,0)
(6,2,0,0)
(111,11,0,0)
(64,45,0,0)
(6,9,0,0)
(26,79,2,0)
(102,8,1,0)
(42,66,2,0)
(46,53,0,2)
(61,26,1,0)
(19,74,2,0)
(40,45,2,0)
(36,31,1,0)
(7,10,0,0)
(103,8,0,0)
(33,59,2,0)
(86,8,1,0)
(45,48,2,0)
(51,27,1,0)
(62,25,1,0)
(61,26,1,0)
(36,54,2,0)
(37,54,2,0)
(23,75,2,0)
(49,27,1,0)
(63,47,0,0)
(7,9,0,0)
(58,46,0,0)
(1,2,0,0)
(30,79,2,0)
(88,6,0,0)
(46,34,1,0)
(54,46,0,0)
(38,76,2,0)
(81,9,1,0)
(41,47,2,0)
(70,18,1,0)
(35,31,1,0)
(75,31,0,0)
(25,79,2,0)
(117,10,1,0)
(70,35,1,0)
(5,1,0,0)
(80,31,0,0)
(45,51,2,0)
(87,8,1,0)
(40,48,2,0)
(52,55,0,0)
(21,74,2,0)
(1,6,0,0)
(14,81,0,0)
(34,78,2,0)
(55,10,0,0)
(76,32,0,0)
(35,56,2,0)
(7,6,0,0)
(56,22,1,0)
(35,55,2,0)
(79,17,1,0)
(103,12,0,0)
(32,68,2,0)
(79,23,0,0)
(48,27,1,0)
(54,44,0,0)
(38,30,1,0)
(6,10,0,0)
(10,81,0,0)
(60,53,0,0)
(8,9,0,0)
(8,25,0,0)
(72,18,1,0)
(44,63,2,0)
(21,30,0,0)
(75,31,0,0)
(1,3,0,0)
(30,28,1,0)
(45,51,2,0)
(80,31,0,0)
(37,33,1,0)
(34,33,1,0)
(57,17,0,0)
(74,30,0,0)
(6,3,0,0)
